iter	RMSE
0	2.17450579
1	2.033729543
2	1.906914028
3	1.796710471
4	1.703825055
5	1.626801087
6	1.559287659
7	1.495813217
8	1.441539131
9	1.395148108
10	1.356996375
11	1.326307022
12	1.296019062
13	1.271255476
14	1.250869765
15	1.233389363
16	1.216943635
17	1.203748596
18	1.192543461
19	1.17868568
20	1.164379274
21	1.153164873
22	1.145879145
23	1.136198035
24	1.128877655
25	1.121559119
26	1.116993586
27	1.114705628
28	1.110029758
29	1.104853855
30	1.102372144
31	1.096563393
32	1.093318272
33	1.089407786
34	1.085091252
35	1.081468314
36	1.080901588
37	1.077044876
38	1.074378209
39	1.07082638
40	1.06766975
41	1.063715899
42	1.060778478
43	1.06042219
44	1.058670186
45	1.055453894
46	1.053597319
47	1.051288075
48	1.048084901
49	1.046798224
50	1.045122848
51	1.04235233
52	1.038925211
53	1.03730045
54	1.035289762
55	1.032769604
56	1.031091333
57	1.029731697
58	1.026592223
59	1.024536875
60	1.022088304
61	1.020808333
62	1.01773142
63	1.016296285
64	1.014703677
65	1.012668728
66	1.009711665
67	1.009106014
68	1.005773315
69	1.005589713
