iter	Passed	Remaining
0	2	170
1	19	657
2	24	558
3	26	443
4	42	550
5	58	627
6	68	613
7	84	652
8	86	587
9	90	540
10	105	565
11	121	585
12	138	608
13	158	635
14	177	651
15	196	664
16	216	673
17	234	678
18	252	678
19	271	677
20	289	674
21	307	669
22	324	662
23	341	655
24	359	647
25	377	638
26	394	627
27	397	596
28	416	588
29	436	582
30	447	562
31	466	553
32	486	545
33	504	534
34	522	522
35	539	509
36	541	482
37	557	469
38	574	456
39	590	443
40	607	429
41	626	417
42	643	404
43	646	381
44	663	368
45	681	355
46	698	342
47	719	329
48	738	316
49	756	302
50	774	288
51	793	274
52	810	259
53	827	245
54	848	231
55	866	216
56	883	201
57	901	186
58	920	171
59	937	156
60	956	141
61	974	125
62	993	110
63	1010	94
64	1028	79
65	1045	63
66	1063	47
67	1080	31
68	1097	15
69	1100	0
