genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[10765, 9648, 35]",['US'],en,318.7812,8.392,9781,2022.0
[18],['US'],en,266.2929,8.173,956,2022.0
"[10765, 18]",['US'],en,229.4961,7.708,427,2025.0
"[80, 18, 9648]",['US'],en,194.8342,8.215,4900,2006.0
"[80, 18, 9648]",['US'],en,174.1633,7.936,4010,1999.0
"[80, 18, 35]",['US'],en,169.3522,8.528,2679,2018.0
"[80, 18]",['US'],en,142.9624,7.4,631,1990.0
[18],['US'],en,151.0133,8.219,10637,2005.0
"[80, 18, 10759]",['US'],en,131.8166,7.6,2391,2003.0
"[18, 9648, 10765]",['US'],en,136.4611,8.3,7988,2005.0
"[18, 35]",['US'],en,109.6556,8.161,3007,2011.0
"[10759, 18]",['US'],en,121.2669,7.7,69,2025.0
"[10765, 18, 10759]",['US'],en,123.5829,8.458,25527,2011.0
"[18, 80]",['MX'],es,107.2123,7.463,27,2025.0
"[10759, 18, 10765]",['US'],en,135.626,7.739,1110,2023.0
"[18, 80]",['US'],en,113.0833,8.92,16096,2008.0
"[10765, 10759, 18]",['US'],en,99.2208,8.058,749,2023.0
"[10759, 80, 18]",['US'],en,119.7263,8.077,5584,2005.0
"[10759, 10765, 18]",['US'],en,104.8737,8.244,2972,2022.0
"[80, 18, 9648]",['US'],en,106.8673,8.306,3921,2005.0
"[18, 9648, 35]",['US'],en,85.1705,8.59,7078,2004.0
"[18, 80, 9648]",['US'],en,93.4557,7.641,3358,2013.0
"[16, 35]",['US'],en,96.8575,7.396,4664,1999.0
[18],['US'],en,80.494,7.5,84,2024.0
"[10765, 18]",['KR'],ko,82.4634,8.979,48,2025.0
"[10765, 18]",['US'],en,78.477,7.7,1507,2021.0
"[10751, 16, 35]",['US'],en,86.105,8.016,10351,1989.0
[18],['US'],en,82.1278,7.25,126,2025.0
"[80, 18, 9648]",['GB'],en,81.3867,7.5,332,1997.0
"[10759, 18, 10768]",['CA'],en,76.2798,8.095,7302,2013.0
"[16, 10759, 35, 10765]",['JP'],ja,78.8466,8.6,664,2024.0
"[16, 10759, 10765]",['JP'],ja,74.7272,8.542,623,2024.0
"[16, 35, 10765]",['US'],en,71.3556,8.368,3498,1999.0
"[80, 18, 9648]",['US'],en,80.0751,7.6,1309,2000.0
"[80, 18, 9648]",['US'],en,76.0753,8.36,4010,2008.0
"[37, 18]",['US'],en,73.7295,8.25,2869,2018.0
"[10759, 9648, 18]",['KR'],ko,72.8732,7.862,16732,2021.0
[18],['US'],en,74.039,8.226,5378,2011.0
"[80, 18]",['US'],en,74.4087,8.2,3316,2005.0
"[18, 10765]",['US'],en,71.7137,8.316,9306,2009.0
"[10759, 18, 10765]",['US'],en,61.6132,8.1,17190,2010.0
"[80, 18]",['US'],en,64.0031,5.154,52,2025.0
"[80, 10765]",['US'],en,69.2565,8.444,15118,2016.0
