popularity,vote_count,year,genre_cluster_0,genre_cluster_1,genre_cluster_2,genre_cluster_3,genre_cluster_4,genre_cluster_5,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,lang_macroarea_Africa,lang_macroarea_Eurasia,lang_macroarea_North America,lang_macroarea_Papunesia,lang_macroarea_South America,vote_average
4.8565,61,1979.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.9
4.7835,1,2022.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0
3.2892,97,2024.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.6
3.2259,415,2011.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.3
6.0094,1,1994.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.0
26.7669,573,2012.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.153
2.3391,0,2016.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0
4.0798,909,2019.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.377
8.6486,60,2018.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.3
5.4226,510,2000.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.975
4.7277,10,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.1
22.5072,30,2025.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.467
3.0201,6,2015.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.2
3.6055,154,2017.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,6.6
3.7611,81,1973.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7.7
4.5971,0,2015.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
14.8097,452,1993.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,7.612
3.0007,3,2024.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.7
6.7039,212,2020.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.8
3.4433,18,2024.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.611
5.3328,1,2025.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0
10.6444,133,1993.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.1
3.99,0,2015.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
4.8939,3,2016.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.3
3.7793,0,2013.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
3.6974,5,1997.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.0
17.3248,76,1994.0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,7.2
7.0476,1,2025.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0
5.4106,2,1954.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.0
4.8442,6,2018.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.8
4.3339,14,1991.0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,6.8
12.064,1376,2018.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.943
4.0803,6,1971.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,6.8
3.7713,4,2023.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.8
2.995,81,2015.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.7
3.7741,333,1997.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.3
7.4676,6,2012.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.2
3.6068,3,2013.0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,6.0
3.837,818,2011.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.8
5.7119,41,1997.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,6.0
3.6151,95,1994.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7.3
5.103,60,2015.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.3
2.1952,0,2007.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
13.3577,1079,2024.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.402
8.5933,16,1959.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,6.4
4.4477,78,2015.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.8
11.2135,0,2013.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.0
5.2644,43,2013.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.1
5.1648,2,2013.0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,4.5
4.9746,17,2009.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.6
4.1089,10,2006.0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6.5
2.8519,178,2017.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.1
4.3958,0,1971.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
12.6785,281,2010.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.1
3.7848,1,2024.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.0
4.0744,149,2012.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.9
5.094,180,2015.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.7
9.6501,256,1988.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.7
5.5713,41,2022.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.9
6.4698,155,2006.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.3
11.6032,10,2014.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.4
3.8066,0,2023.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
5.3632,4,1978.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.5
3.4714,32,2024.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
7.7544,1497,2021.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.195
2.7756,6,2016.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.5
4.8127,114,2000.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.0
4.1768,44,2013.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5.4
4.9887,14,2012.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.1
14.5744,112,1981.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.594
3.1506,119,2011.0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7.134
6.0513,255,1978.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.1
4.0062,98,2017.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.0
3.4325,16,2024.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.6
8.4856,3,2018.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
6.8601,15,1976.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.2
5.1316,20,2001.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.5
25.0304,966,2016.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.7
9.6682,44,2017.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.4
5.063,256,2022.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.459
8.5839,2,2015.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10.0
3.3118,0,2003.0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.0
3.415,10,2024.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.4
10.6907,47,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.798
6.9942,60,2022.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7.5
17.6037,47,1988.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5.5
7.2063,235,2014.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.5
20.4793,1470,2022.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.2
5.5499,4,2025.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.75
4.6804,72,2024.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.778
4.6967,1,2018.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5.0
2.8892,0,2009.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
6.5334,120,2022.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.2
4.8339,4,2024.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.2
4.1688,9,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.0
3.5812,6,2017.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8.3
10.6609,287,2024.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.4
10.051,4,2017.0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0
2.0911,0,2021.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
4.3409,181,2008.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.1
3.2115,38,2019.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.2
3.8876,0,1972.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
7.3679,64,1977.0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,7.3
16.2075,713,2009.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.7
2.9738,15,2003.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.3
2.9351,8,1994.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.1
3.3887,8,2006.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.2
23.9918,18,2025.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.2
3.5934,1,2000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0
4.1928,87,2018.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.42
4.719,84,1989.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.9
5.3589,2,2004.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9.0
